T       H
---AF->PM---(2ª Ordem)
4.33600     0.0
4.31600     0.5
4.25600     1.0
4.15300     1.5
4.00100     2.0
3.79100     2.5
3.50400     3.0
3.10100     3.5     (meio estranho)
2.43600     4.0     2ª Ordem
1.0       4.14200
0.80000     4.06331
0.77200     4.05000
0.71300     4.02000
0.69400     4.01000
0.67600     4.0


---AF->AF---(1ª Ordem)
0.76    3.99882
0.75    3.99851
0.74    3.99818
0.73    3.99783
0.72    3.99745
0.71    3.99704
0.7     3.99661
------------



---AF->PM---(1ª Ordem)
0.695   3.99639
0.69    3.99615
0.685   3.99592
0.68    3.99567
0.675   3.99545
0.67    3.99516
0.65    3.99424
0.6     3.99323
0.5     3.99448
0.4     3.99726
0.3     3.99933
0.2     3.99997
0.1     4.00000
0.0     4.00000
