 T         H       GAMMA
0.0     4.00000     0.0
0.1     4.00000     0.0
0.5     4.00000     0.0
1.0     3.99983     0.0
1.1     3.99961     0.0
1.2     3.99922     0.0
1.3     3.99859     0.0
1.4     3.99764     0.0
1.5     3.99628     0.0
1.6     3.99444     0.0
1.7     3.99204     0.0
1.8     3.98901     0.0
1.9     3.98530     0.0
2.0     3.98084     0.0
2.15    3.97266     0.0
2.3     3.96259     0.0
2.5     3.94613     0.0
2.65    3.93146     0.0
2.8     3.91482     0.0
3.0     3.88964     0.0
3.15    3.86859     0.0
3.3     3.84577     0.0
3.5     3.81277     0.0
3.65    3.78620     0.0
3.8     3.75818     0.0
4.0     3.71873     0.0
4.15    3.68768     0.0
4.3     3.65549     0.0
4.5     3.61089     0.0
4.65    3.57628     0.0
4.8     3.54074     0.0
5.0     3.49200     0.0     1ª Ordem(TCP=5.0,3.49200,0.0)
5.1     3.46700     0.0     2ª Ordem
5.31900 3.40000     0.0
5.5     3.33100     0.0
5.69500 3.24000     0.0
5.80800 3.18000     0.0
6.0     3.06300     0.0
6.22500 2.90000     0.0
6.34500 2.80000     0.0
6.5     2.65500     0.0
6.59100 2.56000     0.0
6.72900 2.40000     0.0
6.84400 2.25000     0.0
7.0     2.01400     0.0
7.12000 1.80000     0.0
7.17000 1.70000     0.0
7.25900 1.50000     0.0
7.31600 1.35000     0.0
7.36700 1.20000     0.0
7.42400 1.0         0.0
7.47000 0.8     0.0
7.5     0.63000     0.0
7.53900 0.3         0.0
7.5500  0.0         0.0
