H       G       T
0.0     0.0     3.92015
0.15    0.0     3.91900
0.3     0.0     3.91400
0.45    0.0     3.90600
0.6     0.0     3.89400
0.75    0.0     3.87900
0.9     0.0     3.86100
1.0     0.0     3.84576
1.15    0.0     3.82200
1.3     0.0     3.79400
1.45    0.0     3.76200
1.6     0.0     3.72600
1.75    0.0     3.68600
1.9     0.0     3.64200
2.0     0.0     3.61000
2.15     0.0     3.55800
2.3     0.0      3.50100
2.45     0.0     3.43900
2.6     0.0     3.37100
2.75     0.0     3.29600
2.9     0.0     3.21500
3.0     0.0     3.15600
3.15     0.0     3.06100
3.3     0.0     2.95500
3.45     0.0     2.83800
3.6     0.0     2.70700
3.75     0.0     2.55700
3.9     0.0     2.38100
4.0     0.0     2.24400  2ª Ordem
4.09000 0.0     2.1
4.14400 0.0     2.0
4.19100 0.0     1.9
4.25000 0.0     1.75
4.29400 0.0     1.6
4.32500 0.0     1.45
4.34100 0.0     1.3
4.34300 0.0     1.15
4.32962 0.0     1.0
4.31300 0.0     0.9
4.28800 0.0     0.8
4.23700 0.0     0.65
4.16351 0.0     0.5
4.13400 0.0     0.45
4.10136 0.0     0.4  2ª Ordem
4.08500 0.0 0.37600
4.06541 0.0 0.35
4.05000 0.0 0.33000
4.04000 0.0 0.31700
4.03000 0.0 0.30500
4.02000 0.0 0.29300
4.01000 0.0 0.28100
4.00500 0.0 0.27500
4.00000 0.0 0.27000
3.99904 0.0     0.269


-----AF->PM-----(2ª Ordem)
,4.10136 0.0     0.40
,4.08740 0.0     0.38
,4.08383 0.0     0.375
,4.08021 0.0     0.37
,4.07288 0.0     0.36
,4.06541 0.0     0.35
,4.05778 0.0     0.34
,4.05000 0.0     0.33
,4.04207 0.0     0.32
,4.03398 0.0     0.31
,4.02572 0.0     0.30
,4.02489 0.0     0.299
,4.02472 0.0     0.2988
,4.02464 0.0     0.2987
,4.01503 0.0 0.29
,4.00650 0.0 0.28
,4.00207 0.0 0.275
,3.99946 0.0 0.272

----------------









-----AF-PM------(1ª Ordem)

3.99909 0.0     0.271
3.999065 0.0     0.27
3.99904 0.0     0.269
3.99887 0.0     0.26
3.99881 0.0     0.255
3.99874 0.0     0.245
3.99873 0.0     0.238
3.99875 0.0     0.23
3.99882 0.0     0.22
3.99886 0.0     0.215
3.99904 0.0     0.2
3.99925 0.0     0.185
3.99959 0.0     0.16
3.99976 0.0     0.145
3.99988 0.0     0.13
3.99995 0.0     0.115
3.99998 0.0     0.1
4.00000 0.0     0.08
4.00000 0.0     0.06
4.00000 0.0     0.04
4.00000 0.0     0.02
4.00000 0.0     0.0
----------------



----AF1->AF2----
3.99999 0.0 0.375
3.99999 0.0 0.37
3.99997 0.0 0.36
3.99995 0.0 0.35
3.99991 0.0 0.34
3.99979 0.0 0.32
3.99959 0.0 0.30
3.99944 0.0 0.29
3.99927 0.0 0.28
3.99917 0.0 0.275
3.99911 0.0 0.272
----------------
