H       G       T
0.0     0.0     3.92015
1.0     0.0     3.84576
2.0     0.0     3.61000
3.0     0.0     3.15600
4.0     0.0     2.24400  2ª Ordem

4.32962 0.0     1.0
4.16351 0.0     0.5
4.10136 0.0     0.4
4.06541 0.0     0.35   2ª Ordem

-----PM->AF-----(1ª Ordem)
4.00600 0.0     0.3463
4.00608 0.0     0.346
4.00638 0.0     0.345
4.00792 0.0     0.34
4.01135 0.0     0.33
4.01518 0.0     0.32
4.01940 0.0     0.31
4.02164 0.0     0.305
4.02351 0.0     0.301
4.02398 0.0     0.3
4.02446 0.0     0.299
4.02456 0.0     0.2988
4.02460 0.0     0.2987
----------------

-----AF->PM-----(2ª Ordem)
4.05778 0.0     0.34
4.05000 0.0     0.33
4.04207 0.0     0.32
4.03398 0.0     0.31
4.02572 0.0     0.30
4.02489 0.0     0.299
4.02472 0.0     0.2988
4.02464 0.0     0.2987
----------------

4.00594 0.0     0.3463
4.00587 0.0     0.346
4.00564 0.0     0.345
4.00467 0.0     0.34
4.00313 0.0     0.33     1ª Ordem
4.00196 0.0     0.32
4.00104 0.0     0.31
4.00066 0.0     0.305
4.00039 0.0     0.301
4.00032 0.0     0.3
3.99955 0.0     0.285
3.99887 0.0     0.26
3.99881 0.0     0.255
3.99874 0.0     0.245
3.99873 0.0     0.238
3.99875 0.0     0.23
3.99882 0.0     0.22
3.99886 0.0     0.215
3.99904 0.0     0.2
3.99925 0.0     0.185
3.99959 0.0     0.16
3.99976 0.0     0.145
3.99988 0.0     0.13
3.99995 0.0     0.115
3.99998 0.0     0.1
4.00000 0.0     0.08
4.00000 0.0     0.06
4.00000 0.0     0.04
4.00000 0.0     0.02
4.00000 0.0     0.0
